# Export File Created with QBlade CE v2.0.8.6_beta windows on 17.04.2025 at 16:21:03
CLARK_Y_AIRFOIL_Re0.020_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re0.045_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re0.075_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re0.100_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re0.250_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re0.500_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re0.750_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re1.000_M0.00_N9.0 360 M	CLARK_Y_AIRFOIL_Re1.000_M0.00_N9.0
Angle of Attack [deg]	Drag Coefficient Cd [-]	Angle of Attack [deg]	Drag Coefficient Cd [-]	Angle of Attack [deg]	Drag Coefficient Cd [-]	Angle of Attack [deg]	Drag Coefficient Cd [-]	Angle of Attack [deg]	Drag Coefficient Cd [-]	Angle of Attack [deg]	Drag Coefficient Cd [-]	Angle of Attack [deg]	Drag Coefficient Cd [-]	Angle of Attack [deg]	Drag Coefficient Cd [-]	Angle of Attack [deg]	Drag Coefficient Cd [-]
-1.4500000e+02	5.6060576e-01	-1.4500000e+02	5.6060654e-01	-1.4500000e+02	5.6060642e-01	-1.4500000e+02	5.6060642e-01	-1.4500000e+02	5.6060600e-01	-1.4500000e+02	5.6060600e-01	-1.4500000e+02	5.6060594e-01	-1.4500000e+02	5.6060594e-01	1.4000000e+01	3.6339998e-02
-1.4400000e+02	5.8817774e-01	-1.4400000e+02	5.8817858e-01	-1.4400000e+02	5.8817846e-01	-1.4400000e+02	5.8817846e-01	-1.4400000e+02	5.8817804e-01	-1.4400000e+02	5.8817798e-01	-1.4400000e+02	5.8817792e-01	-1.4400000e+02	5.8817792e-01	1.4500000e+01	4.0460002e-02
-1.4300000e+02	6.1604655e-01	-1.4300000e+02	6.1604744e-01	-1.4300000e+02	6.1604726e-01	-1.4300000e+02	6.1604726e-01	-1.4300000e+02	6.1604685e-01	-1.4300000e+02	6.1604679e-01	-1.4300000e+02	6.1604673e-01	-1.4300000e+02	6.1604673e-01	1.5000000e+01	4.5440000e-02
-1.4200000e+02	6.4417803e-01	-1.4200000e+02	6.4417905e-01	-1.4200000e+02	6.4417881e-01	-1.4200000e+02	6.4417881e-01	-1.4200000e+02	6.4417833e-01	-1.4200000e+02	6.4417827e-01	-1.4200000e+02	6.4417827e-01	-1.4200000e+02	6.4417821e-01	1.5500000e+01	5.1369999e-02
-1.4100000e+02	6.7253786e-01	-1.4100000e+02	6.7253894e-01	-1.4100000e+02	6.7253876e-01	-1.4100000e+02	6.7253870e-01	-1.4100000e+02	6.7253822e-01	-1.4100000e+02	6.7253816e-01	-1.4100000e+02	6.7253810e-01	-1.4100000e+02	6.7253810e-01	1.6000000e+01	5.8460001e-02
-1.4000000e+02	7.0109141e-01	-1.4000000e+02	7.0109260e-01	-1.4000000e+02	7.0109236e-01	-1.4000000e+02	7.0109236e-01	-1.4000000e+02	7.0109183e-01	-1.4000000e+02	7.0109177e-01	-1.4000000e+02	7.0109171e-01	-1.4000000e+02	7.0109171e-01	1.6500000e+01	6.6689998e-02
-1.3900000e+02	7.2980398e-01	-1.3900000e+02	7.2980523e-01	-1.3900000e+02	7.2980499e-01	-1.3900000e+02	7.2980499e-01	-1.3900000e+02	7.2980440e-01	-1.3900000e+02	7.2980434e-01	-1.3900000e+02	7.2980428e-01	-1.3900000e+02	7.2980428e-01	1.7000000e+01	7.6010004e-02
-1.3800000e+02	7.5864059e-01	-1.3800000e+02	7.5864196e-01	-1.3800000e+02	7.5864172e-01	-1.3800000e+02	7.5864172e-01	-1.3800000e+02	7.5864106e-01	-1.3800000e+02	7.5864100e-01	-1.3800000e+02	7.5864094e-01	-1.3800000e+02	7.5864089e-01	1.7500000e+01	8.6319998e-02
-1.3700000e+02	7.8756624e-01	-1.3700000e+02	7.8756773e-01	-1.3700000e+02	7.8756744e-01	-1.3700000e+02	7.8756744e-01	-1.3700000e+02	7.8756672e-01	-1.3700000e+02	7.8756666e-01	-1.3700000e+02	7.8756660e-01	-1.3700000e+02	7.8756660e-01	1.8000000e+01	9.7379997e-02
-1.3600000e+02	8.1654590e-01	-1.3600000e+02	8.1654745e-01	-1.3600000e+02	8.1654716e-01	-1.3600000e+02	8.1654716e-01	-1.3600000e+02	8.1654638e-01	-1.3600000e+02	8.1654632e-01	-1.3600000e+02	8.1654626e-01	-1.3600000e+02	8.1654620e-01	1.8500000e+01	1.0887000e-01
-1.3500000e+02	8.4554440e-01	-1.3500000e+02	8.4554607e-01	-1.3500000e+02	8.4554571e-01	-1.3500000e+02	8.4554571e-01	-1.3500000e+02	8.4554493e-01	-1.3500000e+02	8.4554482e-01	-1.3500000e+02	8.4554476e-01	-1.3500000e+02	8.4554476e-01	1.9000000e+01	1.2054000e-01
-1.3400000e+02	8.7452668e-01	-1.3400000e+02	8.7452847e-01	-1.3400000e+02	8.7452811e-01	-1.3400000e+02	8.7452811e-01	-1.3400000e+02	8.7452722e-01	-1.3400000e+02	8.7452716e-01	-1.3400000e+02	8.7452710e-01	-1.3400000e+02	8.7452704e-01	1.9500000e+01	1.3197000e-01
-1.3300000e+02	9.0345776e-01	-1.3300000e+02	9.0345967e-01	-1.3300000e+02	9.0345931e-01	-1.3300000e+02	9.0345931e-01	-1.3300000e+02	9.0345836e-01	-1.3300000e+02	9.0345830e-01	-1.3300000e+02	9.0345818e-01	-1.3300000e+02	9.0345818e-01	2.0000000e+01	1.4305000e-01
-1.3200000e+02	9.3230277e-01	-1.3200000e+02	9.3230474e-01	-1.3200000e+02	9.3230438e-01	-1.3200000e+02	9.3230438e-01	-1.3200000e+02	9.3230337e-01	-1.3200000e+02	9.3230331e-01	-1.3200000e+02	9.3230319e-01	-1.3200000e+02	9.3230319e-01	END	END
-1.3100000e+02	9.6102685e-01	-1.3100000e+02	9.6102899e-01	-1.3100000e+02	9.6102864e-01	-1.3100000e+02	9.6102858e-01	-1.3100000e+02	9.6102750e-01	-1.3100000e+02	9.6102744e-01	-1.3100000e+02	9.6102732e-01	-1.3100000e+02	9.6102732e-01	END	END
-1.3000000e+02	9.8959553e-01	-1.3000000e+02	9.8959786e-01	-1.3000000e+02	9.8959738e-01	-1.3000000e+02	9.8959738e-01	-1.3000000e+02	9.8959625e-01	-1.3000000e+02	9.8959619e-01	-1.3000000e+02	9.8959607e-01	-1.3000000e+02	9.8959601e-01	END	END
-1.2900000e+02	1.0179745e+00	-1.2900000e+02	1.0179769e+00	-1.2900000e+02	1.0179764e+00	-1.2900000e+02	1.0179764e+00	-1.2900000e+02	1.0179752e+00	-1.2900000e+02	1.0179751e+00	-1.2900000e+02	1.0179750e+00	-1.2900000e+02	1.0179750e+00	END	END
-1.2800000e+02	1.0461295e+00	-1.2800000e+02	1.0461321e+00	-1.2800000e+02	1.0461316e+00	-1.2800000e+02	1.0461316e+00	-1.2800000e+02	1.0461303e+00	-1.2800000e+02	1.0461302e+00	-1.2800000e+02	1.0461301e+00	-1.2800000e+02	1.0461301e+00	END	END
-1.2700000e+02	1.0740269e+00	-1.2700000e+02	1.0740297e+00	-1.2700000e+02	1.0740291e+00	-1.2700000e+02	1.0740291e+00	-1.2700000e+02	1.0740278e+00	-1.2700000e+02	1.0740277e+00	-1.2700000e+02	1.0740275e+00	-1.2700000e+02	1.0740274e+00	END	END
-1.2600000e+02	1.1016332e+00	-1.2600000e+02	1.1016362e+00	-1.2600000e+02	1.1016356e+00	-1.2600000e+02	1.1016356e+00	-1.2600000e+02	1.1016341e+00	-1.2600000e+02	1.1016340e+00	-1.2600000e+02	1.1016339e+00	-1.2600000e+02	1.1016338e+00	END	END
-1.2500000e+02	1.1289154e+00	-1.2500000e+02	1.1289185e+00	-1.2500000e+02	1.1289179e+00	-1.2500000e+02	1.1289179e+00	-1.2500000e+02	1.1289164e+00	-1.2500000e+02	1.1289163e+00	-1.2500000e+02	1.1289161e+00	-1.2500000e+02	1.1289160e+00	END	END
-1.2400000e+02	1.1558409e+00	-1.2400000e+02	1.1558442e+00	-1.2400000e+02	1.1558436e+00	-1.2400000e+02	1.1558435e+00	-1.2400000e+02	1.1558419e+00	-1.2400000e+02	1.1558418e+00	-1.2400000e+02	1.1558416e+00	-1.2400000e+02	1.1558416e+00	END	END
-1.2300000e+02	1.1823775e+00	-1.2300000e+02	1.1823809e+00	-1.2300000e+02	1.1823803e+00	-1.2300000e+02	1.1823802e+00	-1.2300000e+02	1.1823785e+00	-1.2300000e+02	1.1823784e+00	-1.2300000e+02	1.1823782e+00	-1.2300000e+02	1.1823782e+00	END	END
-1.2200000e+02	1.2084935e+00	-1.2200000e+02	1.2084970e+00	-1.2200000e+02	1.2084965e+00	-1.2200000e+02	1.2084963e+00	-1.2200000e+02	1.2084945e+00	-1.2200000e+02	1.2084943e+00	-1.2200000e+02	1.2084942e+00	-1.2200000e+02	1.2084942e+00	END	END
-1.2100000e+02	1.2341577e+00	-1.2100000e+02	1.2341615e+00	-1.2100000e+02	1.2341608e+00	-1.2100000e+02	1.2341608e+00	-1.2100000e+02	1.2341588e+00	-1.2100000e+02	1.2341586e+00	-1.2100000e+02	1.2341584e+00	-1.2100000e+02	1.2341584e+00	END	END
