Angle of Attack [deg]	Drag Coefficient Cd [-]	Angle of Attack [deg]	Drag Coefficient Cd [-]
1.4000000e+02	7.2734237e-01	END	END
1.4100000e+02	6.9717556e-01	END	END
1.4200000e+02	6.6724801e-01	END	END
1.4300000e+02	6.3759625e-01	END	END
1.4400000e+02	6.0825646e-01	END	END
1.4500000e+02	5.7926416e-01	END	END
1.4600000e+02	5.5065459e-01	END	END
1.4700000e+02	5.2246249e-01	END	END
1.4800000e+02	4.9472183e-01	END	END
1.4900000e+02	4.6746618e-01	END	END
1.5000000e+02	4.4072831e-01	END	END
1.5100000e+02	4.1454038e-01	END	END
1.5200000e+02	3.8893378e-01	END	END
1.5300000e+02	3.6393920e-01	END	END
1.5400000e+02	3.3958647e-01	END	END
1.5500000e+02	3.1590453e-01	END	END
1.5600000e+02	2.9292157e-01	END	END
1.5700000e+02	2.7066475e-01	END	END
1.5800000e+02	2.4916039e-01	END	END
1.5900000e+02	2.2843376e-01	END	END
1.6000000e+02	2.0850918e-01	END	END
1.6100000e+02	1.8940991e-01	END	END
1.6200000e+02	1.7115818e-01	END	END
1.6300000e+02	1.5377511e-01	END	END
1.6400000e+02	1.3728075e-01	END	END
1.6500000e+02	1.2169399e-01	END	END
1.6600000e+02	1.0703259e-01	END	END
1.6700000e+02	9.3313128e-02	END	END
1.6800000e+02	8.0551006e-02	END	END
1.6900000e+02	6.8760425e-02	END	END
1.7000000e+02	5.7954364e-02	END	END
1.7100000e+02	4.8144560e-02	END	END
1.7200000e+02	3.9341528e-02	END	END
1.7300000e+02	3.1554520e-02	END	END
1.7400000e+02	2.4791520e-02	END	END
1.7500000e+02	1.9059254e-02	END	END
1.7600000e+02	1.4363169e-02	END	END
1.7700000e+02	1.0707435e-02	END	END
1.7800000e+02	8.0949422e-03	END	END
1.7900000e+02	6.5273000e-03	END	END
1.8000000e+02	6.0048383e-03	END	END
