CLARK_Y_AIRFOIL_Re0.045_M0.00_N9.0 360 M	
Angle of Attack [deg]	Lift Coefficient Cl [-]	Angle of Attack [deg]	Lift Coefficient Cl [-]
1.6500000e+02	-5.1250410e-01		
1.6600000e+02	-4.9793136e-01		
1.6700000e+02	-4.8745894e-01		
1.6800000e+02	-4.8318860e-01		
1.6900000e+02	-4.8815781e-01		
1.7000000e+02	-5.0650746e-01		
1.7100000e+02	-5.4294008e-01		
1.7200000e+02	-5.9973168e-01		
1.7300000e+02	-6.6844308e-01		
1.7400000e+02	-7.1887052e-01		
1.7500000e+02	-7.0737606e-01		
1.7600000e+02	-6.1782211e-01		
1.7700000e+02	-4.7719896e-01		
1.7800000e+02	-3.1915578e-01		
1.7900000e+02	-1.5883285e-01		
1.8000000e+02	1.5140437e-03		
