Angle of Attack [deg]	Lift Coefficient Cl [-]	Angle of Attack [deg]	Lift Coefficient Cl [-]
1.3300000e+02	-1.0911413e+00	END	END
1.3400000e+02	-1.0952606e+00	END	END
1.3500000e+02	-1.0978336e+00	END	END
1.3600000e+02	-1.0988641e+00	END	END
1.3700000e+02	-1.0983585e+00	END	END
1.3800000e+02	-1.0963265e+00	END	END
1.3900000e+02	-1.0927802e+00	END	END
1.4000000e+02	-1.0877354e+00	END	END
1.4100000e+02	-1.0812103e+00	END	END
1.4200000e+02	-1.0732261e+00	END	END
1.4300000e+02	-1.0638072e+00	END	END
1.4400000e+02	-1.0529814e+00	END	END
1.4500000e+02	-1.0407791e+00	END	END
1.4600000e+02	-1.0272343e+00	END	END
1.4700000e+02	-1.0123843e+00	END	END
1.4800000e+02	-9.9627006e-01	END	END
1.4900000e+02	-9.7893631e-01	END	END
1.5000000e+02	-9.6043211e-01	END	END
1.5100000e+02	-9.4081092e-01	END	END
1.5200000e+02	-9.2013180e-01	END	END
1.5300000e+02	-8.9845973e-01	END	END
1.5400000e+02	-8.7586731e-01	END	END
1.5500000e+02	-8.5243601e-01	END	END
1.5600000e+02	-8.2825881e-01	END	END
1.5700000e+02	-8.0344319e-01	END	END
1.5800000e+02	-7.7811593e-01	END	END
1.5900000e+02	-7.5242960e-01	END	END
1.6000000e+02	-7.2657192e-01	END	END
1.6100000e+02	-7.0077974e-01	END	END
1.6200000e+02	-6.7535955e-01	END	END
1.6300000e+02	-6.5071785e-01	END	END
1.6400000e+02	-6.2740695e-01	END	END
1.6500000e+02	-6.0619372e-01	END	END
1.6600000e+02	-5.8816117e-01	END	END
1.6700000e+02	-5.7485104e-01	END	END
1.6800000e+02	-5.6843972e-01	END	END
1.6900000e+02	-5.7186794e-01	END	END
1.7000000e+02	-5.8861786e-01	END	END
1.7100000e+02	-6.2126905e-01	END	END
1.7200000e+02	-6.6718304e-01	END	END
1.7300000e+02	-7.1100122e-01	END	END
1.7400000e+02	-7.2271085e-01	END	END
1.7500000e+02	-6.7704880e-01	END	END
1.7600000e+02	-5.7838756e-01	END	END
1.7700000e+02	-4.5185289e-01	END	END
1.7800000e+02	-3.1751132e-01	END	END
1.7900000e+02	-1.8245210e-01	END	END
1.8000000e+02	-4.7391534e-02	END	END
